DataSet,Tamanho,Comparacoes,Movimentacoes,Tempo_ms
Decrescente,10,45,82,0.0011
Decrescente,100,4950,9812,0.0339
Decrescente,1000,499500,997940,2.9802
Decrescente,10000,49995000,99979482,210.7486
Ordenado,10,9,0,0.0003
Ordenado,100,99,0,0.0004
Ordenado,1000,999,0,0.0021
Ordenado,10000,9999,0,0.0201
QuaseOrdenado,10,17,2,0.0001
QuaseOrdenado,100,4170,1206,0.0106
QuaseOrdenado,1000,493614,124620,1.3879
QuaseOrdenado,10000,49983241,11777728,134.9439
Aleatorio,10,44,50,0.0004
Aleatorio,100,4914,4966,0.0188
Aleatorio,1000,499364,507026,1.8002
Aleatorio,10000,49976313,49731414,237.1083
