DataSet,Tamanho,Comparacoes,Movimentacoes,Tempo_ms
Decrescente,10,39,28,0.0007
Decrescente,100,4115,1678,0.0157
Decrescente,1000,386985,159808,1.0361
Decrescente,10000,39657056,15054666,107.0644
Ordenado,10,45,18,0.0005
Ordenado,100,4950,198,0.0133
Ordenado,1000,499500,1998,1.1567
Ordenado,10000,49995000,19998,110.2534
QuaseOrdenado,10,27,16,0.0002
QuaseOrdenado,100,992,312,0.0047
QuaseOrdenado,1000,28042,9142,0.0933
QuaseOrdenado,10000,375490,103331,1.3559
Aleatorio,10,21,20,0.0001
Aleatorio,100,571,544,0.0025
Aleatorio,1000,10885,10904,0.0749
Aleatorio,10000,151722,144398,1.0911
